date,region,city,crime_type,latitude,longitude,severity
2024-05-03,Алматы,Алматы,Кража,43.2220,76.8512,2
2024-05-04,Астана,Астана,Кража,51.1694,71.4491,2
2024-05-05,Шымкент,Шымкент,Кража,42.3419,69.5901,2
2024-05-06,Алматы,Алматы,Разбой,43.2220,76.8512,4
2024-05-07,Астана,Астана,Кража,51.1694,71.4491,2
2024-05-08,Карагандинская область,Караганда,Грабёж,49.8014,73.1059,3
2024-05-09,Алматы,Алматы,Кража,43.2220,76.8512,2
2024-05-10,Астана,Астана,Убийство,51.1694,71.4491,5
2024-05-11,Шымкент,Шымкент,Кража,42.3419,69.5901,2
2024-05-12,Алматы,Алматы,Грабёж,43.2220,76.8512,3
2024-05-13,Астана,Астана,Кража,51.1694,71.4491,2
2024-05-14,Карагандинская область,Караганда,Кража,49.8014,73.1059,2
2024-05-15,Алматы,Алматы,Кража,43.2220,76.8512,2

