date,region,city,crime_type,latitude,longitude,severity
2023-02-20,Карагандинская область,Караганда,Кража,49.7614,73.084,2
2023-02-20,Астана,Астана,Грабёж,51.0848,71.4184,3
2023-02-20,Шымкент,Шымкент,Разбой,42.2494,69.566,4
2023-02-21,Алматы,Алматы,Кража,43.2836,76.8535,1
2023-02-21,Алматинская область,Талдыкорган,Мошенничество,43.1237,76.8035,3
2023-02-21,Астана,Астана,Кража,51.2568,71.4087,2
2023-02-21,Туркестанская область,Туркестан,Мошенничество,43.3392,68.2967,2
2023-02-21,Алматинская область,Талдыкорган,Кража,43.2924,76.9234,1
2023-02-22,Актюбинская область,Актобе,Кража,50.1842,57.2515,1
2023-02-23,Алматинская область,Талдыкорган,Разбой,43.1918,76.7771,4
2023-02-24,Актюбинская область,Актобе,Разбой,50.2407,57.2404,4
2023-02-24,Павлодарская область,Павлодар,Вымогательство,52.2558,76.9275,3
2023-02-24,Астана,Астана,Кража,51.1936,71.3854,1
2023-02-25,Алматы,Алматы,Кража,43.2947,76.797,2
2023-02-26,Алматы,Алматы,Кража,43.2075,76.8922,2
2023-02-26,Туркестанская область,Туркестан,Разбой,43.3202,68.2371,4
2023-02-26,Атырауская область,Атырау,Грабёж,47.0364,51.9136,2
2023-02-26,Шымкент,Шымкент,Кража,42.3559,69.6269,2
2023-02-27,Костанайская область,Костанай,Изнасилование,53.1796,63.6266,5
2023-02-27,Мангистауская область,Актау,Кража,43.5529,51.2094,1
2023-02-27,Астана,Астана,Кража,51.2056,71.3505,1
2023-02-27,Мангистауская область,Актау,Кража,43.612,51.1905,2
2023-02-27,Алматы,Алматы,Мошенничество,43.3063,76.8894,3
2023-02-27,Восточно-Казахстанская область,Усть-Каменогорск,Убийство,49.8874,82.6758,5
2023-02-28,Восточно-Казахстанская область,Усть-Каменогорск,Разбой,49.9193,82.6711,4
2023-02-28,Карагандинская область,Караганда,Грабёж,49.8895,73.0529,3
2023-02-28,Шымкент,Шымкент,Кража,42.2936,69.6154,2
2023-03-01,Жамбылская область,Тараз,Кража,42.9401,71.3936,1
2023-03-01,Астана,Астана,Кража,51.1734,71.3994,2
2023-03-01,Алматы,Алматы,Грабёж,43.2118,76.8209,2
2023-03-02,Карагандинская область,Караганда,Кража,49.8487,73.1263,1
2023-03-02,Астана,Астана,Кража,51.1229,71.4084,1
2023-03-02,Мангистауская область,Актау,Кража,43.7201,51.1727,2
2023-03-02,Алматы,Алматы,Другое,43.1633,76.8848,1
2023-03-02,Алматы,Алматы,Кража,43.2231,76.87,2
2023-03-03,Павлодарская область,Павлодар,Кража,52.3251,76.8747,2
2023-03-03,Костанайская область,Костанай,Кража,53.1458,63.709,1
2023-03-03,Алматы,Алматы,Грабёж,43.3192,76.8136,3
2023-03-03,Астана,Астана,Кража,51.2408,71.5488,2
2023-03-03,Актюбинская область,Актобе,Мошенничество,50.1984,57.2083,3
2023-03-03,Алматинская область,Талдыкорган,Кража,43.2916,76.9109,1
2023-03-03,Шымкент,Шымкент,Грабёж,42.3778,69.5398,3
2023-03-04,Актюбинская область,Актобе,Кража,50.3105,57.0941,2
2023-03-04,Карагандинская область,Караганда,Разбой,49.7769,73.0682,4
2023-03-04,Астана,Астана,Вымогательство,51.1482,71.3875,3
2023-03-04,Астана,Астана,Кража,51.1643,71.4857,2
2023-03-04,Жамбылская область,Тараз,Грабёж,42.8415,71.3423,3
2023-03-04,Туркестанская область,Туркестан,Кража,43.366,68.1951,1
2023-03-04,Алматы,Алматы,Кража,43.1662,76.8171,1
2023-03-04,Костанайская область,Костанай,Кража,53.2081,63.5571,1
2023-03-04,Туркестанская область,Туркестан,Мошенничество,43.2155,68.2625,3
2023-03-04,Алматы,Алматы,Кража,43.2402,76.803,2
2023-03-04,Астана,Астана,Кража,51.1475,71.5158,1
2023-03-05,Акмолинская область,Кокшетау,Кража,51.071,71.4531,2
2023-03-05,Алматы,Алматы,Грабёж,43.1741,76.9179,3
2023-03-05,Астана,Астана,Грабёж,51.0977,71.369,3
2023-03-06,Акмолинская область,Кокшетау,Грабёж,51.2144,71.3525,2
2023-03-06,Шымкент,Шымкент,Кража,42.4086,69.6427,1
2023-03-06,Алматинская область,Талдыкорган,Кража,43.2249,76.9301,1
2023-03-06,Костанайская область,Костанай,Разбой,53.261,63.6184,4
2023-03-06,Алматы,Алматы,Разбой,43.3004,76.9173,4
2023-03-06,Костанайская область,Костанай,Грабёж,53.3132,63.5454,2
2023-03-06,Астана,Астана,Разбой,51.1356,71.3714,3
2023-03-06,Алматинская область,Талдыкорган,Вымогательство,43.3114,76.775,4
2023-03-07,Алматы,Алматы,Кража,43.3055,76.7767,2
2023-03-07,Акмолинская область,Кокшетау,Грабёж,51.2609,71.3952,3
2023-03-07,Восточно-Казахстанская область,Усть-Каменогорск,Разбой,49.9131,82.6987,3
2023-03-07,Шымкент,Шымкент,Разбой,42.3251,69.6693,3
2023-03-08,Актюбинская область,Актобе,Кража,50.2613,57.1701,2
2023-03-08,Астана,Астана,Разбой,51.0979,71.4751,4
2023-03-09,Павлодарская область,Павлодар,Мошенничество,52.2359,77.0337,2
2023-03-09,Кызылординская область,Кызылорда,Кража,44.8563,65.59,1
2023-03-09,Алматы,Алматы,Грабёж,43.1519,76.8096,2
2023-03-09,Астана,Астана,Кража,51.2576,71.5193,1
2023-03-09,Шымкент,Шымкент,Разбой,42.3264,69.6753,3
2023-03-09,Алматы,Алматы,Кража,43.1651,76.7522,2
2023-03-10,Туркестанская область,Туркестан,Разбой,43.3497,68.1502,4
2023-03-10,Актюбинская область,Актобе,Кража,50.3228,57.1415,1
2023-03-10,Павлодарская область,Павлодар,Кража,52.286,77.0105,1
2023-03-10,Алматы,Алматы,Грабёж,43.245,76.8976,2
2023-03-10,Акмолинская область,Кокшетау,Кража,51.1461,71.4813,1
2023-03-11,Жамбылская область,Тараз,Разбой,42.939,71.3512,4
2023-03-11,Алматы,Алматы,Кража,43.321,76.8807,2
2023-03-11,Северо-Казахстанская область,Петропавловск,Кража,54.8039,69.1678,1
2023-03-11,Алматы,Алматы,Мошенничество,43.2726,76.8957,3
2023-03-11,Карагандинская область,Караганда,Разбой,49.8608,73.1212,4
2023-03-11,Жамбылская область,Тараз,Грабёж,42.9381,71.4101,2
2023-03-11,Павлодарская область,Павлодар,Разбой,52.2752,76.8718,4
2023-03-11,Восточно-Казахстанская область,Усть-Каменогорск,Грабёж,49.9124,82.6945,3
2023-03-11,Костанайская область,Костанай,Грабёж,53.234,63.6029,3
2023-03-11,Алматы,Алматы,Кража,43.2655,76.9038,1
2023-03-12,Восточно-Казахстанская область,Усть-Каменогорск,Кража,50.0675,82.6718,2
2023-03-12,Астана,Астана,Кража,51.1392,71.3905,2
2023-03-12,Шымкент,Шымкент,Кража,42.3683,69.6578,2
2023-03-12,Акмолинская область,Кокшетау,Грабёж,51.2297,71.4926,3
2023-03-12,Туркестанская область,Туркестан,Кража,43.2254,68.1888,1
2023-03-12,Алматы,Алматы,Разбой,43.256,76.9367,4
2023-03-13,Алматы,Алматы,Разбой,43.1745,76.9157,4
2023-03-13,Карагандинская область,Караганда,Грабёж,49.7845,73.0306,3
2023-03-13,Западно-Казахстанская область,Уральск,Кража,51.2341,51.2889,1
2023-03-13,Алматы,Алматы,Кража,43.2898,76.7833,2
2023-03-13,Алматы,Алматы,Кража,43.2112,76.8153,1
2023-03-13,Костанайская область,Костанай,Мошенничество,53.2179,63.7011,3
2023-03-13,Алматы,Алматы,Кража,43.1267,76.8696,1
2023-03-14,Жамбылская область,Тараз,Разбой,42.9987,71.4426,4
2023-03-14,Восточно-Казахстанская область,Усть-Каменогорск,Убийство,49.9179,82.651,5
2023-03-14,Шымкент,Шымкент,Кража,42.3876,69.6794,1
2023-03-14,Алматинская область,Талдыкорган,Кража,43.1703,76.9431,1
2023-03-14,Костанайская область,Костанай,Кража,53.2736,63.6153,2
2023-03-14,Астана,Астана,Кража,51.1603,71.4903,1
2023-03-14,Карагандинская область,Караганда,Кража,49.7291,73.1594,1
2023-03-14,Алматинская область,Талдыкорган,Разбой,43.3036,76.7898,4
2023-03-15,Астана,Астана,Кража,51.2551,71.3823,2
2023-03-15,Астана,Астана,Разбой,51.0993,71.3868,4
2023-03-15,Туркестанская область,Туркестан,Убийство,43.265,68.1863,5
2023-03-15,Алматинская область,Талдыкорган,Кража,43.1437,76.9191,1
2023-03-15,Алматы,Алматы,Изнасилование,43.2496,76.8478,5
2023-03-15,Шымкент,Шымкент,Кража,42.3392,69.6469,1
2023-03-16,Костанайская область,Костанай,Грабёж,53.2482,63.6984,2
2023-03-16,Туркестанская область,Туркестан,Разбой,43.3837,68.3035,3
2023-03-16,Алматы,Алматы,Разбой,43.2201,76.8639,3
2023-03-16,Карагандинская область,Караганда,Разбой,49.8583,73.1171,3
2023-03-16,Астана,Астана,Кража,51.1058,71.4346,2
2023-03-16,Западно-Казахстанская область,Уральск,Грабёж,51.2011,51.4475,3
2023-03-16,Жамбылская область,Тараз,Мошенничество,42.9788,71.2791,3
2023-03-16,Туркестанская область,Туркестан,Кража,43.3456,68.326,1
2023-03-16,Акмолинская область,Кокшетау,Кража,51.1127,71.4604,2
2023-03-17,Карагандинская область,Караганда,Кража,49.7093,73.1578,1
2023-03-17,Астана,Астана,Кража,51.1435,71.4469,1
2023-03-17,Карагандинская область,Караганда,Разбой,49.8548,73.0141,4
2023-03-17,Павлодарская область,Павлодар,Мошенничество,52.365,77.0422,2
2023-03-17,Туркестанская область,Туркестан,Мошенничество,43.3629,68.2003,3
2023-03-17,Туркестанская область,Туркестан,Разбой,43.2248,68.2279,4
2023-03-18,Астана,Астана,Кража,51.1285,71.368,1
2023-03-18,Мангистауская область,Актау,Грабёж,43.7465,51.2424,2
2023-03-18,Кызылординская область,Кызылорда,Мошенничество,44.9097,65.4266,2
2023-03-18,Астана,Астана,Кража,51.2188,71.5053,2
2023-03-18,Алматы,Алматы,Грабёж,43.2528,76.8572,3
2023-03-18,Жамбылская область,Тараз,Грабёж,42.8342,71.3518,3
2023-03-18,Туркестанская область,Туркестан,Грабёж,43.3577,68.3477,3
2023-03-18,Шымкент,Шымкент,Кража,42.4397,69.6051,2
2023-03-19,Павлодарская область,Павлодар,Кража,52.2616,77.0613,2
2023-03-19,Алматы,Алматы,Кража,43.2896,76.8322,1
2023-03-19,Актюбинская область,Актобе,Грабёж,50.3072,57.234,2
2023-03-19,Шымкент,Шымкент,Кража,42.2628,69.6259,2
2023-03-20,Алматы,Алматы,Разбой,43.1481,76.8592,3
2023-03-20,Алматы,Алматы,Грабёж,43.1524,76.9315,3
2023-03-20,Шымкент,Шымкент,Кража,42.44,69.5066,2
2023-03-20,Астана,Астана,Грабёж,51.1251,71.3811,3
2023-03-20,Павлодарская область,Павлодар,Кража,52.3195,76.8719,2
2023-03-21,Акмолинская область,Кокшетау,Мошенничество,51.1257,71.3574,2
2023-03-21,Астана,Астана,Грабёж,51.097,71.4285,2
2023-03-21,Павлодарская область,Павлодар,Грабёж,52.2148,77.056,3
2023-03-21,Астана,Астана,Мошенничество,51.1822,71.4417,3
2023-03-21,Астана,Астана,Кража,51.0846,71.357,1
2023-03-21,Алматинская область,Талдыкорган,Кража,43.1728,76.9428,1
2023-03-22,Атырауская область,Атырау,Грабёж,47.1887,51.8595,2
2023-03-22,Кызылординская область,Кызылорда,Грабёж,44.925,65.4139,3
2023-03-22,Алматинская область,Талдыкорган,Разбой,43.213,76.9108,3
2023-03-22,Костанайская область,Костанай,Мошенничество,53.2607,63.5676,3
2023-03-22,Карагандинская область,Караганда,Грабёж,49.7352,73.0126,3
2023-03-22,Карагандинская область,Караганда,Разбой,49.7372,73.1493,3
2023-03-22,Акмолинская область,Кокшетау,Грабёж,51.0893,71.4804,3
2023-03-22,Алматы,Алматы,Кража,43.3219,76.8588,1
2023-03-22,Алматинская область,Талдыкорган,Грабёж,43.1346,76.856,2
2023-03-22,Восточно-Казахстанская область,Усть-Каменогорск,Грабёж,50.0128,82.5861,2
2023-03-22,Восточно-Казахстанская область,Усть-Каменогорск,Грабёж,49.8936,82.5368,3
2023-03-22,Алматы,Алматы,Кража,43.1374,76.8891,1
2023-03-22,Карагандинская область,Караганда,Мошенничество,49.7489,73.1283,2
2023-03-23,Астана,Астана,Мошенничество,51.2657,71.5407,2
2023-03-23,Астана,Астана,Кража,51.1344,71.4035,1
2023-03-23,Актюбинская область,Актобе,Разбой,50.2812,57.1979,4
2023-03-23,Алматинская область,Талдыкорган,Убийство,43.1777,76.9079,5
2023-03-24,Астана,Астана,Разбой,51.1763,71.4679,3
2023-03-24,Восточно-Казахстанская область,Усть-Каменогорск,Кража,49.9711,82.6164,2
2023-03-24,Астана,Астана,Кража,51.2638,71.4499,2
2023-03-24,Шымкент,Шымкент,Разбой,42.3508,69.5796,3
2023-03-24,Шымкент,Шымкент,Кража,42.4144,69.5248,1
2023-03-24,Астана,Астана,Кража,51.2407,71.4248,2
2023-03-25,Мангистауская область,Актау,Грабёж,43.6458,51.1439,3
2023-03-25,Западно-Казахстанская область,Уральск,Кража,51.1553,51.3559,2
2023-03-25,Алматы,Алматы,Убийство,43.2249,76.763,5
2023-03-25,Алматы,Алматы,Мошенничество,43.2507,76.9194,3
2023-03-25,Астана,Астана,Грабёж,51.1689,71.4519,3
2023-03-25,Туркестанская область,Туркестан,Кража,43.3185,68.2482,2
2023-03-26,Шымкент,Шымкент,Грабёж,42.3579,69.4929,3
2023-03-26,Алматы,Алматы,Кража,43.1284,76.9258,1
2023-03-26,Восточно-Казахстанская область,Усть-Каменогорск,Мошенничество,49.9444,82.6242,2
2023-03-26,Павлодарская область,Павлодар,Кража,52.249,76.9846,2
2023-03-26,Павлодарская область,Павлодар,Разбой,52.3377,76.9692,3
2023-03-27,Алматинская область,Талдыкорган,Кража,43.2072,76.9304,2
2023-03-27,Восточно-Казахстанская область,Усть-Каменогорск,Кража,50.0396,82.6867,2
